"canonical_gene_id"	"feature_id"
"MtrunA17Chr0c01g0489311"	"MtrunA17Chr0c01g0489311"
"MtrunA17Chr0c03g0490031"	"MtrunA17Chr0c03g0490031"
"MtrunA17Chr1g0146151"	"MtrunA17Chr1g0146151"
"MtrunA17Chr1g0146281"	"MtrunA17Chr1g0146281"
"MtrunA17Chr1g0146681"	"MtrunA17Chr1g0146681"
"MtrunA17Chr1g0146701"	"MtrunA17Chr1g0146701"
"MtrunA17Chr1g0146811"	"MtrunA17Chr1g0146811"
"MtrunA17Chr1g0146931"	"MtrunA17Chr1g0146931"
"MtrunA17Chr1g0147021"	"MtrunA17Chr1g0147021"
"MtrunA17Chr1g0147051"	"MtrunA17Chr1g0147051"
"MtrunA17Chr1g0147161"	"MtrunA17Chr1g0147161"
"MtrunA17Chr1g0147401"	"MtrunA17Chr1g0147401"
"MtrunA17Chr1g0147611"	"MtrunA17Chr1g0147611"
"MtrunA17Chr1g0148121"	"MtrunA17Chr1g0148121"
"MtrunA17Chr1g0148251"	"MtrunA17Chr1g0148251"
"MtrunA17Chr1g0148791"	"MtrunA17Chr1g0148791"
"MtrunA17Chr1g0148921"	"MtrunA17Chr1g0148921"
"MtrunA17Chr1g0149451"	"MtrunA17Chr1g0149451"
"MtrunA17Chr1g0149961"	"MtrunA17Chr1g0149961"
"MtrunA17Chr1g0150121"	"MtrunA17Chr1g0150121"
"MtrunA17Chr1g0150601"	"MtrunA17Chr1g0150601"
"MtrunA17Chr1g0151141"	"MtrunA17Chr1g0151141"
"MtrunA17Chr1g0151201"	"MtrunA17Chr1g0151201"
"MtrunA17Chr1g0151691"	"MtrunA17Chr1g0151691"
"MtrunA17Chr1g0151851"	"MtrunA17Chr1g0151851"
"MtrunA17Chr1g0152061"	"MtrunA17Chr1g0152061"
"MtrunA17Chr1g0152431"	"MtrunA17Chr1g0152431"
"MtrunA17Chr1g0152611"	"MtrunA17Chr1g0152611"
"MtrunA17Chr1g0152781"	"MtrunA17Chr1g0152781"
"MtrunA17Chr1g0152981"	"MtrunA17Chr1g0152981"
"MtrunA17Chr1g0153211"	"MtrunA17Chr1g0153211"
"MtrunA17Chr1g0153431"	"MtrunA17Chr1g0153431"
"MtrunA17Chr1g0153441"	"MtrunA17Chr1g0153441"
"MtrunA17Chr1g0153681"	"MtrunA17Chr1g0153681"
"MtrunA17Chr1g0153781"	"MtrunA17Chr1g0153781"
"MtrunA17Chr1g0153831"	"MtrunA17Chr1g0153831"
"MtrunA17Chr1g0154641"	"MtrunA17Chr1g0154641"
"MtrunA17Chr1g0154681"	"MtrunA17Chr1g0154681"
"MtrunA17Chr1g0155001"	"MtrunA17Chr1g0155001"
"MtrunA17Chr1g0155191"	"MtrunA17Chr1g0155191"
"MtrunA17Chr1g0155511"	"MtrunA17Chr1g0155511"
"MtrunA17Chr1g0155601"	"MtrunA17Chr1g0155601"
"MtrunA17Chr1g0155911"	"MtrunA17Chr1g0155911"
"MtrunA17Chr1g0156731"	"MtrunA17Chr1g0156731"
"MtrunA17Chr1g0157021"	"MtrunA17Chr1g0157021"
"MtrunA17Chr1g0157181"	"MtrunA17Chr1g0157181"
"MtrunA17Chr1g0157201"	"MtrunA17Chr1g0157201"
"MtrunA17Chr1g0157341"	"MtrunA17Chr1g0157341"
"MtrunA17Chr1g0157491"	"MtrunA17Chr1g0157491"
"MtrunA17Chr1g0158811"	"MtrunA17Chr1g0158811"
"MtrunA17Chr1g0158821"	"MtrunA17Chr1g0158821"
"MtrunA17Chr1g0159321"	"MtrunA17Chr1g0159321"
"MtrunA17Chr1g0160121"	"MtrunA17Chr1g0160121"
"MtrunA17Chr1g0160161"	"MtrunA17Chr1g0160161"
"MtrunA17Chr1g0160201"	"MtrunA17Chr1g0160201"
"MtrunA17Chr1g0160211"	"MtrunA17Chr1g0160211"
"MtrunA17Chr1g0160301"	"MtrunA17Chr1g0160301"
"MtrunA17Chr1g0160511"	"MtrunA17Chr1g0160511"
"MtrunA17Chr1g0160841"	"MtrunA17Chr1g0160841"
"MtrunA17Chr1g0161021"	"MtrunA17Chr1g0161021"
"MtrunA17Chr1g0161061"	"MtrunA17Chr1g0161061"
"MtrunA17Chr1g0161131"	"MtrunA17Chr1g0161131"
"MtrunA17Chr1g0161251"	"MtrunA17Chr1g0161251"
"MtrunA17Chr1g0161451"	"MtrunA17Chr1g0161451"
"MtrunA17Chr1g0161631"	"MtrunA17Chr1g0161631"
"MtrunA17Chr1g0162731"	"MtrunA17Chr1g0162731"
