"feature_id"	"canonical_gene_id"	"annotation_gene_id"	"common_name"	"synonyms"	"description"	"display_label"	"search_tokens"
"LotjaGiC1v0000200"	"LotjaGiC1v0000200"					"LotjaGiC1v0000200"	"LotjaGiC1v0000200"
"LotjaGiC1v0000300"	"LotjaGiC1v0000300"					"LotjaGiC1v0000300"	"LotjaGiC1v0000300"
"LotjaGiC1v0000400"	"LotjaGiC1v0000400"					"LotjaGiC1v0000400"	"LotjaGiC1v0000400"
"LotjaGiC1v0000500"	"LotjaGiC1v0000500"					"LotjaGiC1v0000500"	"LotjaGiC1v0000500"
"LotjaGiC1v0000600"	"LotjaGiC1v0000600"					"LotjaGiC1v0000600"	"LotjaGiC1v0000600"
"LotjaGiC1v0000700"	"LotjaGiC1v0000700"					"LotjaGiC1v0000700"	"LotjaGiC1v0000700"
"LotjaGiC1v0000900"	"LotjaGiC1v0000900"					"LotjaGiC1v0000900"	"LotjaGiC1v0000900"
"LotjaGiC1v0001000"	"LotjaGiC1v0001000"					"LotjaGiC1v0001000"	"LotjaGiC1v0001000"
"LotjaGiC1v0001100"	"LotjaGiC1v0001100"					"LotjaGiC1v0001100"	"LotjaGiC1v0001100"
"LotjaGiC1v0001200"	"LotjaGiC1v0001200"					"LotjaGiC1v0001200"	"LotjaGiC1v0001200"
"LotjaGiC1v0001300"	"LotjaGiC1v0001300"					"LotjaGiC1v0001300"	"LotjaGiC1v0001300"
"LotjaGiC1v0001400"	"LotjaGiC1v0001400"					"LotjaGiC1v0001400"	"LotjaGiC1v0001400"
"LotjaGiC1v0001600"	"LotjaGiC1v0001600"					"LotjaGiC1v0001600"	"LotjaGiC1v0001600"
"LotjaGiC1v0001700"	"LotjaGiC1v0001700"					"LotjaGiC1v0001700"	"LotjaGiC1v0001700"
"LotjaGiC1v0001800"	"LotjaGiC1v0001800"					"LotjaGiC1v0001800"	"LotjaGiC1v0001800"
"LotjaGiC1v0001900"	"LotjaGiC1v0001900"					"LotjaGiC1v0001900"	"LotjaGiC1v0001900"
"LotjaGiC1v0002000"	"LotjaGiC1v0002000"					"LotjaGiC1v0002000"	"LotjaGiC1v0002000"
"LotjaGiC1v0002100"	"LotjaGiC1v0002100"					"LotjaGiC1v0002100"	"LotjaGiC1v0002100"
"LotjaGiC1v0002400"	"LotjaGiC1v0002400"					"LotjaGiC1v0002400"	"LotjaGiC1v0002400"
"LotjaGiC1v0002500"	"LotjaGiC1v0002500"					"LotjaGiC1v0002500"	"LotjaGiC1v0002500"
"LotjaGiC1v0002600"	"LotjaGiC1v0002600"					"LotjaGiC1v0002600"	"LotjaGiC1v0002600"
"LotjaGiC1v0002700"	"LotjaGiC1v0002700"					"LotjaGiC1v0002700"	"LotjaGiC1v0002700"
"LotjaGiC1v0002800"	"LotjaGiC1v0002800"					"LotjaGiC1v0002800"	"LotjaGiC1v0002800"
"LotjaGiC1v0002900"	"LotjaGiC1v0002900"					"LotjaGiC1v0002900"	"LotjaGiC1v0002900"
"LotjaGiC1v0003000"	"LotjaGiC1v0003000"					"LotjaGiC1v0003000"	"LotjaGiC1v0003000"
"LotjaGiC1v0003100"	"LotjaGiC1v0003100"					"LotjaGiC1v0003100"	"LotjaGiC1v0003100"
"LotjaGiC1v0003200"	"LotjaGiC1v0003200"					"LotjaGiC1v0003200"	"LotjaGiC1v0003200"
"LotjaGiC1v0003300"	"LotjaGiC1v0003300"					"LotjaGiC1v0003300"	"LotjaGiC1v0003300"
"LotjaGiC1v0003400"	"LotjaGiC1v0003400"					"LotjaGiC1v0003400"	"LotjaGiC1v0003400"
"LotjaGiC1v0003500"	"LotjaGiC1v0003500"					"LotjaGiC1v0003500"	"LotjaGiC1v0003500"
"LotjaGiC1v0003600"	"LotjaGiC1v0003600"					"LotjaGiC1v0003600"	"LotjaGiC1v0003600"
"LotjaGiC1v0003700"	"LotjaGiC1v0003700"					"LotjaGiC1v0003700"	"LotjaGiC1v0003700"
"LotjaGiC1v0003800"	"LotjaGiC1v0003800"					"LotjaGiC1v0003800"	"LotjaGiC1v0003800"
"LotjaGiC1v0003900"	"LotjaGiC1v0003900"					"LotjaGiC1v0003900"	"LotjaGiC1v0003900"
"LotjaGiC1v0004000"	"LotjaGiC1v0004000"					"LotjaGiC1v0004000"	"LotjaGiC1v0004000"
"LotjaGiC1v0004100"	"LotjaGiC1v0004100"					"LotjaGiC1v0004100"	"LotjaGiC1v0004100"
"LotjaGiC1v0004200"	"LotjaGiC1v0004200"					"LotjaGiC1v0004200"	"LotjaGiC1v0004200"
"LotjaGiC1v0004400"	"LotjaGiC1v0004400"					"LotjaGiC1v0004400"	"LotjaGiC1v0004400"
"LotjaGiC1v0004500"	"LotjaGiC1v0004500"					"LotjaGiC1v0004500"	"LotjaGiC1v0004500"
"LotjaGiC1v0004600"	"LotjaGiC1v0004600"					"LotjaGiC1v0004600"	"LotjaGiC1v0004600"
"LotjaGiC1v0004700"	"LotjaGiC1v0004700"					"LotjaGiC1v0004700"	"LotjaGiC1v0004700"
"LotjaGiC1v0004900"	"LotjaGiC1v0004900"					"LotjaGiC1v0004900"	"LotjaGiC1v0004900"
"LotjaGiC1v0005000"	"LotjaGiC1v0005000"					"LotjaGiC1v0005000"	"LotjaGiC1v0005000"
"LotjaGiC1v0005100"	"LotjaGiC1v0005100"					"LotjaGiC1v0005100"	"LotjaGiC1v0005100"
"LotjaGiC1v0005200"	"LotjaGiC1v0005200"					"LotjaGiC1v0005200"	"LotjaGiC1v0005200"
"LotjaGiC1v0005300"	"LotjaGiC1v0005300"					"LotjaGiC1v0005300"	"LotjaGiC1v0005300"
"LotjaGiC1v0005400"	"LotjaGiC1v0005400"					"LotjaGiC1v0005400"	"LotjaGiC1v0005400"
"LotjaGiC1v0005500"	"LotjaGiC1v0005500"					"LotjaGiC1v0005500"	"LotjaGiC1v0005500"
"LotjaGiC1v0005600"	"LotjaGiC1v0005600"					"LotjaGiC1v0005600"	"LotjaGiC1v0005600"
"LotjaGiC1v0005700"	"LotjaGiC1v0005700"					"LotjaGiC1v0005700"	"LotjaGiC1v0005700"
"LotjaGiC1v0005800"	"LotjaGiC1v0005800"					"LotjaGiC1v0005800"	"LotjaGiC1v0005800"
"LotjaGiC1v0005900"	"LotjaGiC1v0005900"					"LotjaGiC1v0005900"	"LotjaGiC1v0005900"
"LotjaGiC1v0006000"	"LotjaGiC1v0006000"					"LotjaGiC1v0006000"	"LotjaGiC1v0006000"
"LotjaGiC1v0006100"	"LotjaGiC1v0006100"					"LotjaGiC1v0006100"	"LotjaGiC1v0006100"
"LotjaGiC1v0006200"	"LotjaGiC1v0006200"					"LotjaGiC1v0006200"	"LotjaGiC1v0006200"
"LotjaGiC1v0006300"	"LotjaGiC1v0006300"					"LotjaGiC1v0006300"	"LotjaGiC1v0006300"
"LotjaGiC1v0006600"	"LotjaGiC1v0006600"					"LotjaGiC1v0006600"	"LotjaGiC1v0006600"
"LotjaGiC1v0006700"	"LotjaGiC1v0006700"					"LotjaGiC1v0006700"	"LotjaGiC1v0006700"
"LotjaGiC1v0006800"	"LotjaGiC1v0006800"					"LotjaGiC1v0006800"	"LotjaGiC1v0006800"
"LotjaGiC1v0006900"	"LotjaGiC1v0006900"					"LotjaGiC1v0006900"	"LotjaGiC1v0006900"
"LotjaGiC1v0007000"	"LotjaGiC1v0007000"					"LotjaGiC1v0007000"	"LotjaGiC1v0007000"
"LotjaGiC1v0007100"	"LotjaGiC1v0007100"					"LotjaGiC1v0007100"	"LotjaGiC1v0007100"
"LotjaGiC1v0007200"	"LotjaGiC1v0007200"					"LotjaGiC1v0007200"	"LotjaGiC1v0007200"
"LotjaGiC1v0007300"	"LotjaGiC1v0007300"					"LotjaGiC1v0007300"	"LotjaGiC1v0007300"
"LotjaGiC1v0007400"	"LotjaGiC1v0007400"					"LotjaGiC1v0007400"	"LotjaGiC1v0007400"
"LotjaGiC1v0007500"	"LotjaGiC1v0007500"					"LotjaGiC1v0007500"	"LotjaGiC1v0007500"
"LotjaGiC1v0007600"	"LotjaGiC1v0007600"					"LotjaGiC1v0007600"	"LotjaGiC1v0007600"
